Domain,Area,Element,Item,Year,Unit,Value
"Crops","Afghanistan","Yield","Wheat","1971","hg/ha","8149"
"Crops","Afghanistan","Yield","Wheat","1972","hg/ha","8457"
"Crops","Afghanistan","Yield","Wheat","1973","hg/ha","11739"
"Crops","Afghanistan","Yield","Wheat","1974","hg/ha","12074"
"Crops","Afghanistan","Yield","Wheat","1975","hg/ha","12128"
"Crops","Afghanistan","Yield","Wheat","1976","hg/ha","12494"
"Crops","Afghanistan","Yield","Wheat","1977","hg/ha","11309"
"Crops","Afghanistan","Yield","Wheat","1978","hg/ha","11980"
"Crops","Afghanistan","Yield","Wheat","1979","hg/ha","12317"
"Crops","Afghanistan","Yield","Wheat","1980","hg/ha","12549"
"Crops","Afghanistan","Yield","Wheat","1981","hg/ha","12350"
"Crops","Afghanistan","Yield","Wheat","1982","hg/ha","12299"
"Crops","Afghanistan","Yield","Wheat","1983","hg/ha","12580"
"Crops","Afghanistan","Yield","Wheat","1984","hg/ha","12319"
"Crops","Afghanistan","Yield","Wheat","1985","hg/ha","12277"
"Crops","Afghanistan","Yield","Wheat","1986","hg/ha","11890"
"Crops","Afghanistan","Yield","Wheat","1987","hg/ha","12849"
"Crops","Afghanistan","Yield","Wheat","1988","hg/ha","11728"
"Crops","Afghanistan","Yield","Wheat","1989","hg/ha","11180"
"Crops","Afghanistan","Yield","Wheat","1990","hg/ha","10510"
"Crops","Afghanistan","Yield","Wheat","1991","hg/ha","10213"
"Crops","Afghanistan","Yield","Wheat","1992","hg/ha","10313"
"Crops","Afghanistan","Yield","Wheat","1993","hg/ha","10211"
"Crops","Afghanistan","Yield","Wheat","1994","hg/ha","10250"
"Crops","Afghanistan","Yield","Wheat","1995","hg/ha","10895"
"Crops","Afghanistan","Yield","Wheat","1996","hg/ha","11220"
"Crops","Afghanistan","Yield","Wheat","1997","hg/ha","12764"
"Crops","Afghanistan","Yield","Wheat","1998","hg/ha","12964"
"Crops","Afghanistan","Yield","Wheat","1999","hg/ha","12329"
"Crops","Afghanistan","Yield","Wheat","2000","hg/ha","7240"
"Crops","Afghanistan","Yield","Wheat","2001","hg/ha","8977"
"Crops","Afghanistan","Yield","Wheat","2002","hg/ha","15419"
"Crops","Afghanistan","Yield","Wheat","2003","hg/ha","15000"
"Crops","Afghanistan","Yield","Wheat","2004","hg/ha","12659"
"Crops","Afghanistan","Yield","Wheat","2005","hg/ha","18215"
"Crops","Afghanistan","Yield","Wheat","2006","hg/ha","13760"
"Crops","Afghanistan","Yield","Wheat","2007","hg/ha","18183"
"Crops","Afghanistan","Yield","Wheat","2008","hg/ha","12263"
"Crops","Afghanistan","Yield","Wheat","2009","hg/ha","19666"
"Crops","Afghanistan","Yield","Wheat","2010","hg/ha","19252"
"Crops","Afghanistan","Yield","Wheat","2011","hg/ha","15179"
"Crops","Afghanistan","Yield","Wheat","2012","hg/ha","20104"
"Crops","Afghanistan","Yield","Wheat","2013","hg/ha","20248"
"Crops","Afghanistan","Yield","Wheat","2014","hg/ha","20237"
"Crops","Afghanistan","Yield","Wheat","2015","hg/ha","21959"
"Crops","Afghanistan","Yield","Wheat","2016","hg/ha","19803"
"Crops","Afghanistan","Yield","Wheat","2017","hg/ha","20342"
"Crops","Afghanistan","Yield","Wheat","2018","hg/ha","22100"
"Crops","Afghanistan","Yield","Wheat","2019","hg/ha","20951"
"Crops","Albania","Yield","Maize","1961","hg/ha","9541"
"Crops","Albania","Yield","Maize","1962","hg/ha","9079"
"Crops","Albania","Yield","Maize","1963","hg/ha","11924"
"Crops","Albania","Yield","Maize","1964","hg/ha","11634"
"Crops","Albania","Yield","Maize","1965","hg/ha","10509"
"Crops","Albania","Yield","Maize","1966","hg/ha","15051"
"Crops","Albania","Yield","Maize","1967","hg/ha","17241"
"Crops","Albania","Yield","Maize","1968","hg/ha","18782"
"Crops","Albania","Yield","Maize","1969","hg/ha","19485"
"Crops","Albania","Yield","Maize","1970","hg/ha","20718"
"Crops","Albania","Yield","Maize","1971","hg/ha","19443"
"Crops","Albania","Yield","Maize","1972","hg/ha","19667"
"Crops","Albania","Yield","Maize","1973","hg/ha","20000"
"Crops","Albania","Yield","Maize","1974","hg/ha","21981"
"Crops","Albania","Yield","Maize","1975","hg/ha","27000"
"Crops","Albania","Yield","Maize","1976","hg/ha","31111"
"Crops","Albania","Yield","Maize","1977","hg/ha","37647"
"Crops","Albania","Yield","Maize","1978","hg/ha","39535"
"Crops","Albania","Yield","Maize","1979","hg/ha","37500"
"Crops","Albania","Yield","Maize","1980","hg/ha","26504"
"Crops","Albania","Yield","Maize","1981","hg/ha","31585"
"Crops","Albania","Yield","Maize","1982","hg/ha","37252"
"Crops","Albania","Yield","Maize","1983","hg/ha","42263"
"Crops","Albania","Yield","Maize","1984","hg/ha","37209"
"Crops","Albania","Yield","Maize","1985","hg/ha","35128"
"Crops","Albania","Yield","Maize","1986","hg/ha","45065"
"Crops","Albania","Yield","Maize","1987","hg/ha","38148"
"Crops","Albania","Yield","Maize","1988","hg/ha","32871"
"Crops","Albania","Yield","Maize","1989","hg/ha","47969"
"Crops","Albania","Yield","Maize","1990","hg/ha","36613"
"Crops","Albania","Yield","Maize","1991","hg/ha","29068"
"Crops","Albania","Yield","Maize","1992","hg/ha","24876"
"Crops","Albania","Yield","Maize","1993","hg/ha","24185"
"Crops","Albania","Yield","Maize","1994","hg/ha","25848"
"Crops","Albania","Yield","Maize","1995","hg/ha","31300"
"Crops","Albania","Yield","Maize","1996","hg/ha","32604"
"Crops","Albania","Yield","Maize","1997","hg/ha","31862"
"Crops","Albania","Yield","Maize","1998","hg/ha","33416"
"Crops","Albania","Yield","Maize","1999","hg/ha","37455"
"Crops","Albania","Yield","Maize","2000","hg/ha","38811"
"Crops","Albania","Yield","Maize","2001","hg/ha","38135"
"Crops","Albania","Yield","Maize","2002","hg/ha","39460"
"Crops","Albania","Yield","Maize","2003","hg/ha","42805"
"Crops","Albania","Yield","Maize","2004","hg/ha","46197"
"Crops","Albania","Yield","Maize","2005","hg/ha","45442"
"Crops","Albania","Yield","Maize","2006","hg/ha","50111"
"Crops","Albania","Yield","Maize","2007","hg/ha","46732"
"Crops","Albania","Yield","Maize","2008","hg/ha","50000"
"Crops","Albania","Yield","Maize","2009","hg/ha","55693"
"Crops","Albania","Yield","Maize","2010","hg/ha","66790"
"Crops","Albania","Yield","Maize","2011","hg/ha","59869"
"Crops","Albania","Yield","Maize","2012","hg/ha","67290"
"Crops","Albania","Yield","Maize","2013","hg/ha","69533"
"Crops","Albania","Yield","Maize","2014","hg/ha","69091"
"Crops","Albania","Yield","Maize","2015","hg/ha","69597"
"Crops","Albania","Yield","Maize","2016","hg/ha","64877"
"Crops","Albania","Yield","Maize","2017","hg/ha","65632"
"Crops","Albania","Yield","Maize","2018","hg/ha","72273"
"Crops","Albania","Yield","Maize","2019","hg/ha","70529"
"Crops","Albania","Yield","Potatoes","1961","hg/ha","72134"
"Crops","Albania","Yield","Potatoes","1962","hg/ha","54341"
"Crops","Albania","Yield","Potatoes","1963","hg/ha","76758"
"Crops","Albania","Yield","Potatoes","1964","hg/ha","90389"
"Crops","Albania","Yield","Potatoes","1965","hg/ha","57544"
"Crops","Albania","Yield","Potatoes","1966","hg/ha","87322"
"Crops","Albania","Yield","Potatoes","1967","hg/ha","72367"
"Crops","Albania","Yield","Potatoes","1968","hg/ha","72483"
"Crops","Albania","Yield","Potatoes","1969","hg/ha","55738"
"Crops","Albania","Yield","Potatoes","1970","hg/ha","54693"
"Crops","Albania","Yield","Potatoes","1971","hg/ha","63302"
"Crops","Albania","Yield","Potatoes","1972","hg/ha","53203"
"Crops","Albania","Yield","Potatoes","1973","hg/ha","60902"
"Crops","Albania","Yield","Potatoes","1974","hg/ha","67097"
"Crops","Albania","Yield","Potatoes","1975","hg/ha","69677"
"Crops","Albania","Yield","Potatoes","1976","hg/ha","74194"
"Crops","Albania","Yield","Potatoes","1977","hg/ha","75484"
"Crops","Albania","Yield","Potatoes","1978","hg/ha","76774"
"Crops","Albania","Yield","Potatoes","1979","hg/ha","76645"
"Crops","Albania","Yield","Potatoes","1980","hg/ha","60613"
"Crops","Albania","Yield","Potatoes","1981","hg/ha","71747"
"Crops","Albania","Yield","Potatoes","1982","hg/ha","64872"
"Crops","Albania","Yield","Potatoes","1983","hg/ha","87742"
"Crops","Albania","Yield","Potatoes","1984","hg/ha","62937"
"Crops","Albania","Yield","Potatoes","1985","hg/ha","56667"
"Crops","Albania","Yield","Potatoes","1986","hg/ha","78571"
"Crops","Albania","Yield","Potatoes","1987","hg/ha","63571"
"Crops","Albania","Yield","Potatoes","1988","hg/ha","50000"
"Crops","Albania","Yield","Potatoes","1989","hg/ha","107778"
"Crops","Albania","Yield","Potatoes","1990","hg/ha","66667"
"Crops","Albania","Yield","Potatoes","1991","hg/ha","77818"
"Crops","Albania","Yield","Potatoes","1992","hg/ha","82920"
"Crops","Albania","Yield","Potatoes","1993","hg/ha","98446"
"Crops","Albania","Yield","Potatoes","1994","hg/ha","81404"
"Crops","Albania","Yield","Potatoes","1995","hg/ha","111323"
"Crops","Albania","Yield","Potatoes","1996","hg/ha","106138"
"Crops","Albania","Yield","Potatoes","1997","hg/ha","109874"
"Crops","Albania","Yield","Potatoes","1998","hg/ha","127212"
"Crops","Albania","Yield","Potatoes","1999","hg/ha","142018"
"Crops","Albania","Yield","Potatoes","2000","hg/ha","141228"
"Crops","Albania","Yield","Potatoes","2001","hg/ha","148818"
"Crops","Albania","Yield","Potatoes","2002","hg/ha","153868"
"Crops","Albania","Yield","Potatoes","2003","hg/ha","151301"
"Crops","Albania","Yield","Potatoes","2004","hg/ha","149346"
"Crops","Albania","Yield","Potatoes","2005","hg/ha","167061"
"Crops","Albania","Yield","Potatoes","2006","hg/ha","170745"
"Crops","Albania","Yield","Potatoes","2007","hg/ha","188902"
"Crops","Albania","Yield","Potatoes","2008","hg/ha","193878"
"Crops","Albania","Yield","Potatoes","2009","hg/ha","219780"
"Crops","Albania","Yield","Potatoes","2010","hg/ha","231111"
"Crops","Albania","Yield","Potatoes","2011","hg/ha","242211"
"Crops","Albania","Yield","Potatoes","2012","hg/ha","250538"
"Crops","Albania","Yield","Potatoes","2013","hg/ha","260110"
"Crops","Albania","Yield","Potatoes","2014","hg/ha","250000"
"Crops","Albania","Yield","Potatoes","2015","hg/ha","242574"
"Crops","Albania","Yield","Potatoes","2016","hg/ha","245894"
"Crops","Albania","Yield","Potatoes","2017","hg/ha","251110"
"Crops","Albania","Yield","Potatoes","2018","hg/ha","261714"
"Crops","Albania","Yield","Potatoes","2019","hg/ha","256455"
"Crops","Albania","Yield","Rice, paddy","1961","hg/ha","15514"
"Crops","Albania","Yield","Rice, paddy","1962","hg/ha","16675"
"Crops","Albania","Yield","Rice, paddy","1963","hg/ha","23599"
"Crops","Albania","Yield","Rice, paddy","1964","hg/ha","23094"
"Crops","Albania","Yield","Rice, paddy","1965","hg/ha","25998"
"Crops","Albania","Yield","Rice, paddy","1966","hg/ha","27363"
"Crops","Albania","Yield","Rice, paddy","1967","hg/ha","27912"
"Crops","Albania","Yield","Rice, paddy","1968","hg/ha","30831"
"Crops","Albania","Yield","Rice, paddy","1969","hg/ha","32698"
"Crops","Albania","Yield","Rice, paddy","1970","hg/ha","29705"
"Crops","Albania","Yield","Rice, paddy","1971","hg/ha","31573"
"Crops","Albania","Yield","Rice, paddy","1972","hg/ha","30000"
"Crops","Albania","Yield","Rice, paddy","1973","hg/ha","31600"
"Crops","Albania","Yield","Rice, paddy","1974","hg/ha","30000"
"Crops","Albania","Yield","Rice, paddy","1975","hg/ha","33750"
"Crops","Albania","Yield","Rice, paddy","1976","hg/ha","35000"
"Crops","Albania","Yield","Rice, paddy","1977","hg/ha","36000"
"Crops","Albania","Yield","Rice, paddy","1978","hg/ha","37000"
"Crops","Albania","Yield","Rice, paddy","1979","hg/ha","38800"
"Crops","Albania","Yield","Rice, paddy","1980","hg/ha","32500"
"Crops","Albania","Yield","Rice, paddy","1981","hg/ha","34750"
"Crops","Albania","Yield","Rice, paddy","1982","hg/ha","29750"
"Crops","Albania","Yield","Rice, paddy","1983","hg/ha","36111"
"Crops","Albania","Yield","Rice, paddy","1984","hg/ha","35000"
"Crops","Albania","Yield","Rice, paddy","1985","hg/ha","40000"
"Crops","Albania","Yield","Rice, paddy","1986","hg/ha","36667"
"Crops","Albania","Yield","Rice, paddy","1987","hg/ha","32121"
"Crops","Albania","Yield","Rice, paddy","1988","hg/ha","27594"
"Crops","Albania","Yield","Rice, paddy","1989","hg/ha","31296"
"Crops","Albania","Yield","Rice, paddy","1990","hg/ha","23333"
"Crops","Albania","Yield","Rice, paddy","1991","hg/ha","28538"
"Crops","Albania","Yield","Rice, paddy","1992","hg/ha","40000"
"Crops","Albania","Yield","Rice, paddy","1993","hg/ha","41786"
"Crops","Albania","Yield","Sorghum","1961","hg/ha","5379"
"Crops","Albania","Yield","Sorghum","1962","hg/ha","5672"
"Crops","Albania","Yield","Sorghum","1963","hg/ha","6997"
"Crops","Albania","Yield","Sorghum","1964","hg/ha","7635"
"Crops","Albania","Yield","Sorghum","1965","hg/ha","7263"
"Crops","Albania","Yield","Sorghum","1966","hg/ha","9173"
"Crops","Albania","Yield","Sorghum","1967","hg/ha","9118"
"Crops","Albania","Yield","Sorghum","1968","hg/ha","16505"
"Crops","Albania","Yield","Sorghum","1969","hg/ha","11528"
"Crops","Albania","Yield","Sorghum","1970","hg/ha","11554"
"Crops","Albania","Yield","Sorghum","1971","hg/ha","9878"
"Crops","Albania","Yield","Sorghum","1972","hg/ha","9000"
"Crops","Albania","Yield","Sorghum","1973","hg/ha","11000"
"Crops","Albania","Yield","Sorghum","1974","hg/ha","11250"
"Crops","Albania","Yield","Sorghum","1975","hg/ha","11667"
"Crops","Albania","Yield","Sorghum","1976","hg/ha","10000"
"Crops","Albania","Yield","Sorghum","1977","hg/ha","11538"
"Crops","Albania","Yield","Sorghum","1978","hg/ha","12000"
"Crops","Albania","Yield","Sorghum","1979","hg/ha","12000"
"Crops","Albania","Yield","Sorghum","1980","hg/ha","12000"
"Crops","Albania","Yield","Sorghum","1981","hg/ha","12000"
"Crops","Albania","Yield","Sorghum","1982","hg/ha","12000"
"Crops","Albania","Yield","Sorghum","1983","hg/ha","12963"
"Crops","Albania","Yield","Sorghum","1984","hg/ha","12963"
"Crops","Albania","Yield","Sorghum","1985","hg/ha","12963"
"Crops","Albania","Yield","Sorghum","1986","hg/ha","12950"
"Crops","Albania","Yield","Sorghum","1987","hg/ha","12800"
"Crops","Albania","Yield","Sorghum","1988","hg/ha","12780"
"Crops","Albania","Yield","Sorghum","1989","hg/ha","12806"
"Crops","Albania","Yield","Sorghum","1990","hg/ha","12500"
